,Age,Gender,MaritalStatus,SmokerStatus,LifeStyle,LanguageSpoken,Education,Race,Nationality,MovingToNewCompany,Occupation,Telco,ResidentialType,NoofDependent,FamilyExpenses_monthly,AnnualSalary,Need1,Need2,PurchasedPlan1,Transport,PurchasedPlan2,MedicalComplication,lat,lon,Berjaya Starbucks Coffee Company Sdn Bhd,The Coffee Bean & Tea Leaf (M) Sdn Bhd ,Dommal Food Services Sdn Bhd,Pizza Hut Restaurants Sdn Bhd ,Wonderful Lifestyle Sdn Bhd
0,24,female,single,sometimes,pub_goer,malay,Bachelor,others,Malaysian,yes,employer,umobile,condominium,2,4375,100699,PersonalMedical,KidMedical,COVIDFree,driving,NoMoneyDown,yes,3.204186852,101.7563898,0,0,1,3,0
1,25,male,single,once_in_a_while,pub_goer,english,Bachelor,malay,Malaysian,yes,employer,maxis,condominium,2,5624,140804,PersonalSaving,KidSaving,HomeSafe,driving,NoMoneyDown,no,3.136053154,101.7355844,1,1,0,4,0
2,37,female,single,frequent,pub_goer,english,Bachelor,others,Malaysian,no,selfEmployed,celcom,condominium,2,8154,100971,PersonalRetirement,KidSaving,COVIDFree,publicTransport,NoMoneyDown,no,3.148253084,101.6834873,7,2,1,0,4
3,44,female,married,frequent,pub_goer,malay,Bachelor,malay,Malaysian,no,privateEemployee,digi,condominium,2,7417,169552,PersonalSaving,KidEducation,HomeSafe,driving,KidsEdu,yes,3.194772501,101.7448099,2,0,2,3,0
4,35,female,married,sometimes,pub_goer,mandarin,Diploma,chinese,Malaysian,yes,privateEemployee,celcom,terrace,2,6945,120283,PersonalMedical,KidSaving,COVIDFree,driving,KidsEdu,yes,3.194194815,101.7263385,2,1,1,1,0
5,20,female,single,frequent,home,malay,Bachelor,chinese,others,yes,selfEmployed,maxis,condominium,3,4057,101950,PersonalRetirement,KidEducation,HomeSafe,driving,NoMoneyDown,yes,3.151472383,101.7165072,19,5,0,0,0
6,22,male,married,once_in_a_while,home,mandarin,Bachelor,chinese,Malaysian,no,privateEemployee,umobile,terrace,2,4063,166816,PersonalRetirement,KidSaving,HomeSafe,driving,KidsEdu,no,3.182490725,101.731037,0,0,1,0,0
7,33,male,single,once_in_a_while,outdoor,english,Diploma,indian,Malaysian,yes,govServant,maxis,terrace,2,6789,113634,PersonalRetirement,KidMedical,HomeSafe,driving,NoMoneyDown,no,3.153332023,101.6496644,3,2,0,0,1
8,43,male,single,frequent,home,english,Diploma,others,Malaysian,no,privateEemployee,umobile,terrace,2,7310,68634,PersonalMedical,KidMedical,HomeSafe,driving,NoMoneyDown,no,3.133374593,101.7584311,0,0,0,0,0
9,26,female,married,sometimes,outdoor,malay,Bachelor,chinese,Malaysian,yes,govServant,digi,flat,2,5120,171167,PersonalSaving,KidMedical,HomeSafe,driving,KidsEdu,no,3.173938895,101.6782721,1,1,0,1,0
