Location,Retail_Name
0,Jombali Sdn Bhd
0,Jiran Cafe
0,Pizza Hut Restaurants Sdn Bhd - ( Melawati Mall)
0,Pizza Hut Restaurants Sdn Bhd - (Wangsa Maju)
0,AZR Maju Food & Beverage
0,Restoran Pucuk Di Cita
0,Hadramawt Kitchen Sdn. Bhd.
0,Restoran & Kafe Dulang Emas
0,Delicious Barbeque Sdn Bhd - (Melawati Mall)
0,Halwa Al Azra Cafe
0,Restoran Al Faiz Maju
0,Empire Sushi Group Sdn Bhd
0,Sakura Kristal Kafe & Restaurant
0,Patatimo Sdn Bhd
0,Aspac Restaurant Sdn Bhd
0,Kafe Skrin
0,Qsr Stores Sdn Bhd
0,NZ Retails Sdn Bhd
0,Mosa Ventures Sdn Bhd
0,Gourmet Chef Permata Sdn. Bhd.
0,Cosy Place Restaurant
0,Ncr Concept Sdn Bhd
0,Pizza Hut Restaurants Sdn Bhd - (Taman Permata)
0,Cosmo Restaurants Sdn Bhd
0,Jombali Sdn Bhd
0,A&W (Malaysia) Sdn Bhd - Banda (Wangsa Walk)
0,Sushi Kin Sdn Bhd
0,Silverwell Sdn Bhd
0,Mba Crew Sdn Bhd
0,Pops Eatery Sdn Bhd
0,Dommal Food Services Sdn Bhd
0,OldTown White Coffee Taman Permata
0,Sushi King AEON Big Wangsa Maju
0,A&W (Wangsa Walk)
0,The Manhattan Fish Market (Wangsa Walk)
0,Domino's Pizza (WANGSA MAJU )
0,Domino's Pizza (MELAWATI)
0,McDonald's BHP Taman Melawati DT
0,KFC Taman Melawati
0,Kenny Rogers Roasters Alpha Angle
0,McDonald's Shell Ulu Kelang DT
0,The Chicken Rice Shop (Aeon Big Wangsa Maju)
0,Secret Recipe (WANGSA WALK)
0,KFC Plaza Giant Melawati
0,KFC Wangsa Maju DT
0,McDonald's Carrefour Wangsa Maju
0,Restoran Baixian Sdn Bhd
0,Nice Cafe
0,Butter Block KS
0,Kedai Ayamas @ Taman Melawati
1,Epsoner F & B Equipment Sdn Bhd
1,Restoran Nikhman Bistro
1,Restoran Faaz Maju
1,Restoran Tnk
1,Joyous & Longevity Cafe
1,Restoran A Bismi
1,Restoran Rejab
1,Koi Cafe Malaysia Sdn. Bhd.
1,The Hill Restaurant & Bar Sdn. Bhd.
1,Jay Bee Cafe
1,Abadi Cafeteria Sdn Bhd
1,Restoran Shun De Ju Fu Zhuang Sdn. Bhd.
1,Restoran Rasik
1,Greatfun Restaurants Sdn. Bhd.
1,Restoran Cuba Rasa Istimewa
1,Restoran Mesti Cuba
1,Restoran Ariff
1,Restoran Soon Soon Lai
1,Restoran Naznisha Maju
1,BBQ Spice Restaurant (1 Shamelin Mall)
1,Pot Lepak (1 Shamelin Mall)
1,Signature Cafearo (1 Shamelin Mall)
1,Sushi King (Sunway Velocity Mall)
1,Boat Noodle (Sunway Velocity Mall)
1,Shojikiya (Sunway Velocity Mall)
1,Esquire Kitchen (Sunway Velocity Mall)
1,The Manhattan Fish Market (Sunway Velocity Mall)
1,Zen House Japanese Vegetarian (Sunway Velocity Mall)
1,Pho Street (Sunway Velocity Mall)
1,Ori Udon (Sunway Velocity Mall)
1,Tealive (Sunway Velocity Mall)
1,Texas Chicken (Malaysia) Sdn Bhd - Sunway Velocity Mall
1,Pizza Hut (Sunway Velocity Mall)
1,Kenny Rogers (Sunway Velocity Mall)
1,Starbucks Coffee (Sunway Velocity Mall)
1,Chili's Grill & Bar (Sunway Velocity Mall)
1,Sakae Sushi (Sunway Velocity Mall)
1,KFC (Sunway Velocity Mall)
1,Hometown Hainan Coffee (Sunway Velocity Mall)
1,Fish & Co (Sunway Velocity Mall)
1,Empire Sushi (Sunway Velocity Mall)
1,Dubuyo (Sunway Velocity Mall)
1,Boost Juice (Sunway Velocity Mall)
1,Auntie Anne's (Sunway Velocity Mall)
1,Absolute Thai (Sunway Velocity Mall)
1,Restoran As-safa Plt
1,Soon Soon Tuck Restaurant Sdn.bhd
1,Restoran Shaziz Sdn.bhd
1,Kam Gary Restaurant Sdn Bhd
